station_id,n_obs,bias_mm,rmse_mm,correlation,mean_observed_mm,mean_modelled_mm,station_name,latitude,longitude,elevation_m
0-203-0-10101019001,2086,4.204987070538888,35.84583147405394,0.8576163029043959,32.48993288590585,36.69491995644485,Dolní Dvůr  Rudolfov,50.654592,15.655815,560
0-203-0-10101025001,1251,-2.0567355290227622,9.99374209915312,0.8912593871189219,8.701998401278928,6.645262872256169,Hostinné,50.5400231,15.7201375,351
0-203-0-10101026001,644,5.0418252977127205,38.35672183467521,0.8182847873695925,30.75590062111801,35.79772591883075,Černý Důl,50.648678,15.712563,715
0-203-0-10101029002,505,-5.300364664642573,21.364955977419935,0.8076930062025671,15.782574257425756,10.48220959278316,Rudník  Javorník,50.5831,15.7681,455
0-203-0-10101055001,735,-0.7036160126303422,10.603174499212413,0.932203635023634,14.171836734693862,13.468220722063549,Čistá,50.526601,15.584265,445
0-203-0-10101067001,1299,-0.08908225149261094,5.740186353057531,0.9213697727214641,4.64026173979986,4.551179488307208,Bílá Třemešná,50.457596,15.766135,322
0-203-0-10102006101,1175,-9.64602643550263,37.26325241116086,0.851711142399185,33.652851063829665,24.006824628327134,Pomezní boudy  Horní Malá Úpa,50.745472,15.82027,1050
0-203-0-10102013001,1401,5.139505422088941,24.546462409150983,0.8620161037750299,20.191291934332842,25.330797356421574,Horní Maršov,50.654577,15.818973,585
0-203-0-10102027001,2034,-2.1543903644592195,16.505998559848997,0.8455144853798617,11.59336283185837,9.43897246739916,Žacléř,50.661205,15.907098,644
0-203-0-10102051101,161,-0.2939896144720491,7.486752817847526,0.8635993639722427,6.728571428571429,6.434581814099381,Česká Skalice  Ratibořice,50.4165464,16.0529453,290
0-203-0-10103004001,172,0.9902295731395343,6.084898530736526,0.8345984771810375,2.5174418604651185,3.5076714336046515,Teplice nad Metují Zdoňov,50.641075,16.147362,531
0-203-0-10103011001,1856,1.8861378949667018,11.851254764017181,0.818918576501052,5.684051724137881,7.5701896191046005,Teplice nad Metují,50.578941,16.172543,460
0-203-0-10103018001,1283,2.470647507667227,10.11096293702076,0.8340963835029473,3.8631332813717703,6.333780789039015,Police nad Metují,50.537805,16.237511,446
0-203-0-10103032001,824,-0.1910620118499905,7.6837047575099096,0.8632926807762945,5.741504854368923,5.550442842518938,Hronov  Zbečník,50.4839,16.1442,378
0-203-0-10103041001,1333,1.3339491893463915,7.411889208629236,0.8005273669215184,2.772618154538663,4.106567343885046,Náchod,50.395208,16.157201,336
0-203-0-10103042001,421,-6.688550055776724,30.86131794700863,0.8782665827566327,25.922802850356305,19.23425279457958,Olešnice  Čihalka,50.374902,16.352829,740
0-203-0-10103056001,1131,-0.2442681515901856,2.8135569745018456,0.9281160446613446,1.5837312113174316,1.3394630597272394,Česká Skalice  Rozkoš,50.363056,16.061111,290
0-203-0-10104024001,1289,0.1865234775115563,4.526622957299136,0.8114386574719548,1.563847944142748,1.7503714216542945,Hořiněves,50.31285,15.76283,275
